id,name,genres,popularity_x,time_range,followers
2Wk167T0fY1fABsHM5qFcI,Sherine,"arab pop, egyptian pop",56,medium_term,"{'href': None, 'total': 4535008}"
0hEurMDQu99nJRq8pTxO14,John Mayer,"neo mellow, singer-songwriter",75,medium_term,"{'href': None, 'total': 5923872}"
3dg5jIKF8v8kZu5eWByHRL,Zen Ambiance D'eau Calme,zen,41,medium_term,"{'href': None, 'total': 3636}"
4ePGUzgUg8l92kFkWlbgK6,Ensemble de Musique Zen Relaxante,zen,43,medium_term,"{'href': None, 'total': 2248}"
4gEkCPrEvdkOqNMRwbauKF,Musique Douce Academy,,22,medium_term,"{'href': None, 'total': 671}"
6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,"classic soul, soul, vocal jazz",66,medium_term,"{'href': None, 'total': 1516294}"
6m7sil7DZpW1PDsVfkAOMP,Maritta Hallani,"arab pop, lebanese pop",29,medium_term,"{'href': None, 'total': 91381}"
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"album rock, british invasion, classic rock, rock",77,medium_term,"{'href': None, 'total': 13161089}"
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",81,medium_term,"{'href': None, 'total': 25899950}"
0bzfPKdbXL5ezYW2z3UGQj,Michael Kiwanuka,"british soul, neo soul, psychedelic soul, soul",62,medium_term,"{'href': None, 'total': 1323874}"
5abSRg0xN1NV3gLbuvX24M,Amr Diab,"arab pop, belly dance, egyptian pop, persian pop, rif",61,medium_term,"{'href': None, 'total': 6035256}"
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,"classic soul, motown, neo soul, northern soul, quiet storm, soul",72,medium_term,"{'href': None, 'total': 5102579}"
4lQhb7Hptj08WWqSf2za9O,Joe Ashkar,"arab pop, lebanese pop",28,medium_term,"{'href': None, 'total': 84376}"
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",73,medium_term,"{'href': None, 'total': 3455260}"
69q4xfNrz04VhJdTQHGUjd,Appel,afrikaans,48,medium_term,"{'href': None, 'total': 257567}"
1QxkWzg3QsYJv6xMXSuVMs,Hussein Al Deek,"arab pop, dabke, syrian pop",40,medium_term,"{'href': None, 'total': 153313}"
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",67,medium_term,"{'href': None, 'total': 2200341}"
0LnHdW6HMPoOlNdhG3DHjE,Nancy Ajram,"afghan pop, arab pop, belly dance, lebanese pop",58,medium_term,"{'href': None, 'total': 2355277}"
6bb9VI1PpPTEmdgcgjTppX,Mohamed Hamaki,"arab pop, egyptian pop",54,medium_term,"{'href': None, 'total': 4126198}"
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",77,medium_term,"{'href': None, 'total': 19404604}"
4OxfghTTEa7wIa1GcXtWVD,Top Songs Of 2023,,20,medium_term,"{'href': None, 'total': 1265}"
5HczG7gdd89oDKY0CUyPof,Wael Jassar,"arab pop, lebanese pop",52,medium_term,"{'href': None, 'total': 2038153}"
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94,long_term,"{'href': None, 'total': 78074915}"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap, hip hop, rap",88,long_term,"{'href': None, 'total': 20790700}"
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"lgbtq+ hip hop, neo soul",81,long_term,"{'href': None, 'total': 11541738}"
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap",79,long_term,"{'href': None, 'total': 6604678}"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent wave, pop",87,long_term,"{'href': None, 'total': 46236093}"
4LLpKhyESsyAXpc4laK94U,Mac Miller,"hip hop, pittsburgh rap, pop rap, rap",81,long_term,"{'href': None, 'total': 9319926}"
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",81,long_term,"{'href': None, 'total': 25899950}"
0hEurMDQu99nJRq8pTxO14,John Mayer,"neo mellow, singer-songwriter",75,long_term,"{'href': None, 'total': 5923872}"
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"album rock, british invasion, classic rock, rock",77,long_term,"{'href': None, 'total': 13161089}"
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",87,long_term,"{'href': None, 'total': 24926692}"
04N4sGkSTSxjVfbiItLvTj,Ziad Bourji,"arab pop, lebanese pop",43,long_term,"{'href': None, 'total': 274200}"
0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,"latinx alternative, souldies",58,long_term,"{'href': None, 'total': 245367}"
0bzfPKdbXL5ezYW2z3UGQj,Michael Kiwanuka,"british soul, neo soul, psychedelic soul, soul",62,long_term,"{'href': None, 'total': 1323874}"
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,"boy band, rap",64,long_term,"{'href': None, 'total': 2127842}"
4kIwETcbpuFgRukE8o7Opx,Arlo Parks,"indie pop, indie soul, uk contemporary r&b",60,long_term,"{'href': None, 'total': 547167}"
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",73,long_term,"{'href': None, 'total': 3455260}"
09A6IffSw0t8L8sfuOCVws,Wael Kfoury,"arab pop, belly dance, lebanese pop",52,long_term,"{'href': None, 'total': 1518868}"
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,"british soul, neo soul",73,long_term,"{'href': None, 'total': 8514281}"
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,"classic soul, motown, neo soul, northern soul, quiet storm, soul",72,long_term,"{'href': None, 'total': 5102579}"
53wZLCnhshZKDRs3uopFBc,Jai Paul,experimental r&b,46,long_term,"{'href': None, 'total': 198905}"
5DPb3SKW8QZFwkRlmt7Gvo,Joseph Attieh,"arab pop, dabke, lebanese pop",40,long_term,"{'href': None, 'total': 301593}"
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap",84,long_term,"{'href': None, 'total': 20950538}"
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,"atl hip hop, hip hop, rap",76,long_term,"{'href': None, 'total': 11207095}"
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",82,long_term,"{'href': None, 'total': 8531834}"
5aMIbwZQvP2MHPMVC5zCGj,ODIE,canadian contemporary r&b,58,long_term,"{'href': None, 'total': 277389}"
587PA35pRGL1JwQr6idJbb,NEIL FRANCES,indie soul,64,long_term,"{'href': None, 'total': 155763}"
4b5UHpUmrPycvsgu2M3ujz,Maya Diab,"arab pop, lebanese pop",41,long_term,"{'href': None, 'total': 161555}"
74ASZWbe4lXaubB36ztrGX,Bob Dylan,"classic rock, country rock, folk, folk rock, psychedelic rock, rock, roots rock, singer-songwriter",69,long_term,"{'href': None, 'total': 6209728}"
