id,name_x,artist,album,release_date,duration_ms_x,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
3FAclTFfvUuQYnEsptbK8w,Back To Black,Amy Winehouse,Back To Black (Deluxe Edition),2006-01-01,241293,2023-03-12 02:18:56+00:00,"['british soul', 'neo soul']",0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,audio_features,spotify:track:3FAclTFfvUuQYnEsptbK8w,https://api.spotify.com/v1/tracks/3FAclTFfvUuQYnEsptbK8w,https://api.spotify.com/v1/audio-analysis/3FAclTFfvUuQYnEsptbK8w,4
6VnpKLtfNH4Dk09YSGPSyR,It Ain't Over 'Til It's Over,Lenny Kravitz,Mama Said,1991-04-02,242640,2023-03-12 02:15:35+00:00,"['permanent wave', 'rock']",0.679,0.568,6,-10.74,1,0.0423,0.422,0.00928,0.322,0.93,159.69,audio_features,spotify:track:6VnpKLtfNH4Dk09YSGPSyR,https://api.spotify.com/v1/tracks/6VnpKLtfNH4Dk09YSGPSyR,https://api.spotify.com/v1/audio-analysis/6VnpKLtfNH4Dk09YSGPSyR,4
3uliGwmB52ZA7brgpZMzyH,Love Is A Losing Game,Amy Winehouse,Back To Black (Deluxe Edition),2006-01-01,155413,2023-03-12 02:13:32+00:00,"['british soul', 'neo soul']",0.484,0.293,0,-16.544,1,0.0311,0.337,0.00627,0.146,0.562,165.008,audio_features,spotify:track:3uliGwmB52ZA7brgpZMzyH,https://api.spotify.com/v1/tracks/3uliGwmB52ZA7brgpZMzyH,https://api.spotify.com/v1/audio-analysis/3uliGwmB52ZA7brgpZMzyH,4
7wnj1zRcZVlPNJ58shwl7h,Can I Call You Rose?,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,190546,2023-03-12 01:41:02+00:00,"['latinx alternative', 'souldies']",0.302,0.4,0,-8.212,0,0.0364,0.719,0.000621,0.172,0.421,180.852,audio_features,spotify:track:7wnj1zRcZVlPNJ58shwl7h,https://api.spotify.com/v1/tracks/7wnj1zRcZVlPNJ58shwl7h,https://api.spotify.com/v1/audio-analysis/7wnj1zRcZVlPNJ58shwl7h,3
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,Imagine,1971-09-09,187866,2023-03-11 12:12:40+00:00,"['beatlesque', 'classic rock', 'rock']",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,4
1fOkmYW3ZFkkjIdOZSf596,Pink Matter,Frank Ocean,channel ORANGE,2012-07-10,268813,2023-03-09 00:03:25+00:00,"['lgbtq+ hip hop', 'neo soul']",0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,audio_features,spotify:track:1fOkmYW3ZFkkjIdOZSf596,https://api.spotify.com/v1/tracks/1fOkmYW3ZFkkjIdOZSf596,https://api.spotify.com/v1/audio-analysis/1fOkmYW3ZFkkjIdOZSf596,3
6R6ihJhRbgu7JxJKIbW57w,Provider,Frank Ocean,Provider,2017-08-27,243238,2023-03-01 15:04:57+00:00,"['lgbtq+ hip hop', 'neo soul']",0.654,0.325,2,-11.925,1,0.282,0.74,2.14e-05,0.152,0.39,139.886,audio_features,spotify:track:6R6ihJhRbgu7JxJKIbW57w,https://api.spotify.com/v1/tracks/6R6ihJhRbgu7JxJKIbW57w,https://api.spotify.com/v1/audio-analysis/6R6ihJhRbgu7JxJKIbW57w,4
41cpvQ2GyGb2BRdIRSsTqK,Moon River,Frank Ocean,Moon River,2018-02-14,188323,2023-03-01 15:01:50+00:00,"['lgbtq+ hip hop', 'neo soul']",0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349,audio_features,spotify:track:41cpvQ2GyGb2BRdIRSsTqK,https://api.spotify.com/v1/tracks/41cpvQ2GyGb2BRdIRSsTqK,https://api.spotify.com/v1/audio-analysis/41cpvQ2GyGb2BRdIRSsTqK,3
73sJYNNftZeqUxHu5l4w1z,Future Lover,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,211626,2023-02-12 02:36:29+00:00,"['latinx alternative', 'souldies']",0.607,0.468,11,-7.587,1,0.0271,0.088,0.000155,0.0909,0.806,147.57,audio_features,spotify:track:73sJYNNftZeqUxHu5l4w1z,https://api.spotify.com/v1/tracks/73sJYNNftZeqUxHu5l4w1z,https://api.spotify.com/v1/audio-analysis/73sJYNNftZeqUxHu5l4w1z,4
6ajuD3Vrq9kJ5viPyggvZM,Weak for Your Love,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,261306,2023-02-08 21:14:07+00:00,"['latinx alternative', 'souldies']",0.744,0.422,11,-9.2,0,0.033,0.146,0.00145,0.0779,0.562,127.726,audio_features,spotify:track:6ajuD3Vrq9kJ5viPyggvZM,https://api.spotify.com/v1/tracks/6ajuD3Vrq9kJ5viPyggvZM,https://api.spotify.com/v1/audio-analysis/6ajuD3Vrq9kJ5viPyggvZM,4
4XQgeG5VBvvf0xRqNPsYFc,Hyyerr,Kid Cudi,Man On The Moon: The End Of Day (Int'l Version),2009-01-01,212106,2023-01-09 00:23:46+00:00,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",0.725,0.647,4,-4.091,0,0.088,0.261,0.0,0.641,0.557,119.989,audio_features,spotify:track:4XQgeG5VBvvf0xRqNPsYFc,https://api.spotify.com/v1/tracks/4XQgeG5VBvvf0xRqNPsYFc,https://api.spotify.com/v1/audio-analysis/4XQgeG5VBvvf0xRqNPsYFc,4
7oOEFDLSQscl0uGulnIEmG,Love & Hate,Michael Kiwanuka,Love & Hate,2016-07-15,427093,2023-01-09 00:03:28+00:00,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",0.278,0.494,7,-7.853,0,0.029,0.157,0.000407,0.173,0.527,169.661,audio_features,spotify:track:7oOEFDLSQscl0uGulnIEmG,https://api.spotify.com/v1/tracks/7oOEFDLSQscl0uGulnIEmG,https://api.spotify.com/v1/audio-analysis/7oOEFDLSQscl0uGulnIEmG,4
0f2zcrhhHT59aIGQvRlTZ1,One More Night,Michael Kiwanuka,Love & Hate,2016-07-15,233413,2023-01-08 23:59:32+00:00,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",0.684,0.764,6,-5.342,0,0.0254,0.0129,0.000171,0.141,0.944,107.806,audio_features,spotify:track:0f2zcrhhHT59aIGQvRlTZ1,https://api.spotify.com/v1/tracks/0f2zcrhhHT59aIGQvRlTZ1,https://api.spotify.com/v1/audio-analysis/0f2zcrhhHT59aIGQvRlTZ1,4
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-08,309600,2023-01-03 00:26:55+00:00,"['permanent wave', 'pop']",0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,4
5NhlpQ6BOIz3S5welptk1W,Sober,Childish Gambino,Kauai,2014-10-03,252026,2022-11-25 01:40:27+00:00,"['atl hip hop', 'hip hop', 'rap']",0.707,0.562,0,-7.621,1,0.0305,0.124,1.58e-05,0.561,0.418,98.094,audio_features,spotify:track:5NhlpQ6BOIz3S5welptk1W,https://api.spotify.com/v1/tracks/5NhlpQ6BOIz3S5welptk1W,https://api.spotify.com/v1/audio-analysis/5NhlpQ6BOIz3S5welptk1W,4
